community_id,theme,processing_time,status
1,Metabolic Genomics of Tea Plants Revealed,302.6,success
2,Removal of Organic Pollutants from Water,365.2,success
3,Electrochemical Synthesis of Functionalized Caffeine Derivatives,242.1,success
4,Glaucoma Pathogenesis Research Cluster,359.5,success
5,Coffee's Health Benefits and Risks,579.5,success
6,Bioactive Compounds in Tea Research,587.2,success
7,Oxidative Stress in Parkinson's Disease Pathogenesis and Treatment,248.4,success
8,Ocular Vascular Network Research Cluster,480.4,success
9,Coffee By-Product Valorization,1020.2,success
10,Neuroprotective Effects of Caffeine and Isatin,544,success
11,Cardiac Ryanodine Receptor Regulation and Dysfunction,1051.5,success
12,Crystal Engineering for Pharmaceutical Applications,899.5,success
13,Genetic Correlations with Lifestyle Factors,392,success
14,"Pharmaceuticals, Food Science, and Tea Quality Analysis",639.6,success
15,Ionic Liquid Based Aqueous Biphasic Systems Research,348.8,success
16,Supplements for Enhanced Sports Performance and Recovery,642.7,success
17,Analytical Methods for Vortioxetine Determination,182.7,success
18,Energy Drink Content Analysis Research,123.3,success
19,Mental Health in University Students Worldwide,378.8,success
20,Nutrition and Mental Health Research Cluster,318.9,success
21,Advanced Oxidation Processes for Water Remediation,477.5,success
22,Emerging Contaminants in Water Treatment Systems,679.7,success
23,Pharmaceuticals and Gas Chromatography Methods Validation,243.7,success
24,Rodent Models of Human Disease Validation Challenges,184.6,success
25,Public Health Interventions for Non-Communicable Diseases,393,success
26,Sleep and Diet in Athletes and Children,582,success
27,Subjective Effects of Alcohol and Marijuana Use in Young Adults,139,success
28,Coffee's Impact on Human Health Outcomes,579.1,success
29,Green Chemistry for Sustainable Synthesis Processes,123,success
30,Molecular Interactions and Dynamics in Complex Systems,240,success
31,Environmental Impact of Caffeine on Aquatic Ecosystems,288.1,success
32,Pharmaceuticals in Water Resources Contamination,557.8,success
33,Bronchopulmonary Dysplasia Research and Treatment Advances,520.3,success
34,Wood Protection and Preservation Methods Research,165.3,success
35,Effects of Caffeine on Lipid Metabolism in Yeast,564.7,success
36,Cellulite Reduction through Nanocarrier-Based Drug Delivery Systems,263.4,success
37,Environmental and Food Science Research Findings,239.2,success
38,Caffeine's Impact on Exercise Performance and Fatigue Mechanisms,272.5,success
39,Caffeine's Impact on Cognitive Function and Health,446.6,success
40,Effects of Caffeine on Human Physiology,449.6,success
